iter	Logloss
131	0.4780540944
132	0.4777573806
133	0.4773959192
134	0.4770589702
135	0.476868986
136	0.4764592643
137	0.4759591364
138	0.4756202766
139	0.4752555397
140	0.4749294001
141	0.4744876322
142	0.4740059022
143	0.4736842393
144	0.4733082561
145	0.472849619
146	0.4727736799
147	0.4724213902
148	0.472249258
149	0.4718336948
150	0.4713411007
151	0.4709195323
152	0.4704178757
153	0.4699270832
154	0.4693878665
155	0.4693391694
156	0.4689950141
157	0.4687251055
158	0.4682143865
159	0.4676957514
160	0.4671832854
161	0.4668934503
162	0.4665581937
163	0.4662110904
164	0.465946914
165	0.4655121887
166	0.4652356197
167	0.465013098
168	0.4647283401
169	0.4643575433
170	0.464028019
171	0.4637523235
172	0.4634600317
173	0.4631216633
174	0.4627963426
175	0.4623380876
176	0.4620650672
177	0.4618247481
178	0.4615911439
179	0.4611471377
180	0.4608528806
181	0.4605146214
182	0.4602404545
183	0.4599757868
184	0.4597170698
185	0.459389893
186	0.4591736495
187	0.4589948569
188	0.4587857651
189	0.4584691247
190	0.4582028193
191	0.457902748
192	0.4575974084
193	0.4572878379
194	0.4570343891
195	0.4568213666
196	0.4566371965
197	0.4564498601
198	0.4560335599
199	0.4557819401
200	0.4555031601
201	0.4553691066
202	0.4551151665
203	0.4548885229
204	0.4546754731
205	0.4546053209
206	0.4543680317
207	0.4540961578
208	0.4540354502
209	0.4537474439
210	0.4534777537
211	0.4532769601
212	0.4532175354
213	0.4528823334
214	0.4526312048
215	0.4524171723
216	0.4521876627
217	0.4519930108
218	0.4519493362
219	0.4517020565
220	0.4514561962
221	0.451195623
222	0.4509031947
223	0.4506609649
224	0.4504820358
225	0.4500926228
226	0.4498103215
227	0.4495898197
228	0.449341066
229	0.4491540571
230	0.4489389054
231	0.4487880645
232	0.4484912415
233	0.4481923985
234	0.448047945
235	0.4478529928
236	0.4476059315
237	0.4471146476
238	0.4467357984
239	0.4467016776
240	0.4464768084
241	0.4463701879
242	0.4461274667
243	0.4459367728
244	0.4457077545
245	0.4453369304
246	0.4450511625
247	0.4450410628
248	0.444903761
249	0.4446937684
250	0.4444609558
251	0.4442438388
252	0.4440088972
253	0.4437395618
254	0.4435747177
255	0.4435636626
256	0.4434175167
257	0.4432745918
258	0.4430034549
259	0.4428512218
260	0.4425681017
261	0.4423876986
262	0.4423454708
263	0.4421515013
264	0.4418981617
265	0.4415598479
266	0.4414030836
267	0.4412504411
268	0.4410436422
269	0.4408009756
270	0.4406977399
271	0.4404985295
272	0.4403100739
273	0.4400583994
274	0.4397911659
275	0.4395662693
276	0.4391670568
277	0.4391584584
278	0.4390412469
279	0.4388192984
280	0.4386294507
281	0.4384453352
282	0.4382265258
283	0.437931013
284	0.4377102656
285	0.4375235297
286	0.4373078048
287	0.436989008
288	0.4367576422
289	0.4364519478
290	0.4360403972
291	0.4358347993
292	0.4358232256
293	0.4358228161
294	0.4356067364
295	0.4353705391
296	0.4352247207
297	0.4350571743
298	0.434823188
299	0.4346407923
300	0.4344952742
301	0.4342768197
302	0.4340307137
303	0.4338616114
304	0.4335978718
305	0.4332440808
306	0.4329558289
307	0.4326781135
308	0.4324767193
309	0.4323337398
310	0.4321738091
311	0.432005826
312	0.4317887363
313	0.4316328455
314	0.431483888
315	0.4312574629
316	0.4309785737
317	0.4306151197
318	0.4305958756
319	0.4302916825
320	0.4300060511
321	0.4297654317
322	0.4296058286
323	0.4294353615
324	0.4292987421
325	0.4292822822
326	0.4289796178
327	0.4287994876
328	0.4285219906
329	0.4282810163
330	0.4279381986
331	0.4276618207
332	0.4274813084
333	0.4272598512
334	0.4270658817
335	0.4269841831
336	0.4267325086
337	0.4265965989
338	0.4263440509
339	0.4261537392
340	0.4260182389
341	0.425835734
342	0.4257211975
343	0.4255634506
344	0.4253251514
345	0.4250047168
346	0.4248573153
347	0.4245786991
348	0.4243450131
349	0.4242443433
350	0.423965809
351	0.4238049775
352	0.4236284505
353	0.4233798332
354	0.4231810868
355	0.4228271321
356	0.4225678418
357	0.4223967469
358	0.4222162073
359	0.4221001968
360	0.4219049716
361	0.421825484
362	0.4216445896
363	0.4215041486
364	0.4213446001
365	0.4211822674
366	0.4210545739
367	0.4207328837
368	0.4205420533
369	0.4203077122
370	0.4201494739
371	0.420017413
372	0.4198695475
373	0.4197424819
374	0.4193215686
375	0.4191550867
376	0.4188053902
377	0.4187466753
378	0.4184595698
379	0.418321531
380	0.418195066
381	0.4181950387
382	0.4179548287
383	0.4178278177
384	0.4175541695
385	0.4173635848
386	0.4172114882
387	0.4170625035
388	0.4168656133
389	0.4167316689
390	0.4164202968
391	0.4161978024
392	0.4159268019
393	0.4157206581
394	0.415529664
395	0.4153839275
396	0.4152492462
397	0.4152492735
398	0.4150823003
399	0.4149291119
400	0.414844083
401	0.4144784999
402	0.4143457839
403	0.4142072538
404	0.4140426008
405	0.4139306575
406	0.4136838418
407	0.4135487237
408	0.4134333138
409	0.4134295742
410	0.4132829642
411	0.4130735176
412	0.4129949853
413	0.4128569192
414	0.4126938767
415	0.4125799135
416	0.4123914033
417	0.4123352269
418	0.4120737257
419	0.4117551746
420	0.4117552019
421	0.4115235904
422	0.4112489322
423	0.4112486046
424	0.4111262613
425	0.4110040818
426	0.4108619758
427	0.4108619758
428	0.4106755402
429	0.4103630762
430	0.4102541082
431	0.4100658437
432	0.4099281598
433	0.4098484537
434	0.4095304759
435	0.4093994796
436	0.4091728361
437	0.4088910262
438	0.4087227154
439	0.4086696236
440	0.4085731029
441	0.4085397464
442	0.4084323071
443	0.4084055564
444	0.4082735229
445	0.4081042841
446	0.408014451
447	0.4076966369
448	0.4074586107
449	0.4073379871
450	0.407093246
451	0.4069132523
452	0.4067657416
453	0.4066724146
454	0.4065020566
455	0.4062819643
456	0.4062118394
457	0.4059883623
458	0.4058762006
459	0.4057616642
460	0.4057181807
461	0.4055578952
462	0.4054179729
463	0.4054180275
464	0.4051334333
465	0.4048745253
466	0.4047763122
467	0.4046703468
468	0.4045014356
469	0.4044505002
470	0.4044324844
471	0.4041328771
472	0.4041316761
473	0.4038624772
474	0.4037021371
475	0.403528913
476	0.4033994726
477	0.4032768563
478	0.402959943
479	0.402780932
480	0.402667815
481	0.4026378434
482	0.4026377888
483	0.4025348261
484	0.4024087159
485	0.4022917773
486	0.402152401
487	0.401868189
488	0.4017545806
489	0.4014975014
490	0.4013484347
491	0.40117966
492	0.4009535351
493	0.4008059152
494	0.400700332
495	0.4007000863
496	0.4004919499
497	0.4003131027
498	0.4000880151
499	0.3997902094
500	0.3996680299
501	0.399531547
502	0.3994820037
503	0.3992373171
504	0.3990439209
505	0.3988312259
506	0.398713796
507	0.3983983021
508	0.3980788229
509	0.3979281458
510	0.3979068545
511	0.3977493259
512	0.3975413532
513	0.3974262981
514	0.397240463
515	0.3970879024
516	0.3968731329
517	0.3968119886
518	0.3967977671
519	0.3965308884
520	0.396239743
521	0.3960982376
522	0.3959374607
523	0.3958081841
524	0.395660182
525	0.3955651626
526	0.39543635
527	0.3954353674
528	0.395286874
529	0.3952146472
530	0.39499319
531	0.3948989895
532	0.3947684027
533	0.3946353592
534	0.394362912
535	0.3940966338
536	0.3938566423
537	0.3937473468
538	0.3936156681
539	0.3934169489
540	0.3932119789
541	0.3930161805
542	0.392813285
543	0.3926680399
544	0.3925486174
545	0.3925243507
546	0.3922373272
547	0.3920569514
548	0.3919250816
549	0.3917101483
550	0.3915255415
551	0.3913376864
552	0.3912261526
553	0.3910040949
554	0.3907633391
555	0.3906095774
556	0.3904313581
557	0.3903032279
558	0.3901373739
559	0.389917691
560	0.3896928217
561	0.3895543735
562	0.3893610318
563	0.3892069153
564	0.3889974413
565	0.38875977
566	0.3886224409
567	0.3884725008
568	0.3882474678
569	0.3881501281
570	0.3880423612
571	0.3877936621
572	0.3876578616
573	0.3874694606
574	0.3873582543
575	0.38709113
576	0.386854414
577	0.3867761274
578	0.3866836193
579	0.3865881359
580	0.3865453894
581	0.3863051522
582	0.3861392709
583	0.3858665507
584	0.3856399072
585	0.385456365
586	0.3853021666
587	0.3852002139
588	0.3850254885
589	0.3848343305
590	0.3846919788
591	0.3845457237
592	0.3843748744
593	0.3842094299
594	0.3840058247
595	0.3837688903
596	0.3835455224
597	0.3832746038
598	0.3831505955
599	0.3828953724
600	0.3826139993
601	0.3824910009
602	0.3823713872
603	0.3821448802
604	0.38186479
605	0.381611778
606	0.3814229948
607	0.3811737497
608	0.3809461508
609	0.3806897267
610	0.3805024722
611	0.3803627137
612	0.3802583043
613	0.3801323033
614	0.3799947285
615	0.3799149406
616	0.3797850088
617	0.3796674425
618	0.3794543108
619	0.3792638625
620	0.3791274888
621	0.3787770826
622	0.3785854879
623	0.3784686858
624	0.3783667877
625	0.3782623782
626	0.3780347793
627	0.377828581
628	0.377674055
629	0.3774444635
630	0.3772869622
631	0.3771320814
632	0.3770278084
633	0.3768601801
634	0.3766593592
635	0.3764243902
636	0.376208174
637	0.3760428386
638	0.3758399158
639	0.3756880376
640	0.3754621584
641	0.3753311621
642	0.3752034687
643	0.3750520546
644	0.3748812599
645	0.3747053334
646	0.3744879434
647	0.3743118532
648	0.374199828
649	0.3740605609
650	0.3738598218
651	0.3737374239
652	0.3736113137
653	0.3734757043
654	0.3733421148
655	0.3732055773
656	0.3730276582
657	0.372851295
658	0.3725050652
659	0.3724276793
660	0.3722412437
661	0.3720608133
662	0.3718719482
663	0.3717618884
664	0.3716660501
665	0.3714813069
666	0.3713515116
667	0.3712634528
668	0.3711548125
669	0.370934065
670	0.3707693301
671	0.3706814624
672	0.3705465627
673	0.3703449502
674	0.3701856473
675	0.3700078374
676	0.3698370427
677	0.3696561209
678	0.3694662186
679	0.3693976496
680	0.3692513945
681	0.3690241232
682	0.3689146093
683	0.3687885264
684	0.3686055028
685	0.3684393758
686	0.3683480961
687	0.3681563103
688	0.3680507817
689	0.3678880668
690	0.3677679345
691	0.3676504227
692	0.3674580637
693	0.367365037
694	0.3672071535
695	0.366996615
696	0.3667823095
697	0.3666183663
698	0.366496487
699	0.3663213249
700	0.3662027758
701	0.3660834625
702	0.3658857806
703	0.3657930268
704	0.3656140704
705	0.3654418563
706	0.3652826899
707	0.3651404748
708	0.3650001157
709	0.3648349987
710	0.3647232465
711	0.3645795573
712	0.3644160235
713	0.3642185054
714	0.3640029716
715	0.3638108856
716	0.3636208195
717	0.3635232069
718	0.3633578988
719	0.3632013802
720	0.362994281
721	0.3627990559
722	0.3626827997
723	0.3625697373
724	0.3624786213
725	0.3623573153
726	0.3622834235
727	0.3621021196
728	0.3619039737
729	0.3617398393
730	0.3615913186
731	0.3614101785
732	0.3612803014
733	0.3611490321
734	0.3609423697
735	0.3607289377
736	0.3605740842
737	0.3604466365
738	0.360214288
739	0.3599905925
740	0.3598567847
741	0.3597066535
742	0.3595119197
743	0.3593583764
744	0.3591528604
745	0.3589644048
746	0.3588585487
747	0.3587095639
748	0.3585828532
749	0.3583980281
750	0.358259689
751	0.3581315042
752	0.3580085331
753	0.3579184544
754	0.357824909
755	0.3576908009
756	0.357577138
757	0.3574116115
758	0.3572305533
759	0.3570588305
760	0.3568889365
761	0.3567679035
762	0.3566315844
763	0.3565097051
764	0.3563651424
765	0.3562617703
766	0.3561746396
767	0.356768	0.3419736477
769	0.3418437705
770	0.3417378325
771	0.3416035606
772	0.3414554221
773	0.3413515313
774	0.3411906179
775	0.3410664185
776	0.3776	0.3549777	0.3408982988
778	0.3407781666
779	779	0.3545888780	0.3405303682
781	0.3404378055
782	0.3402451462
783	0.3401633657
784	0.3400483652
785	0.3399082791
786	0.3397560188
787	0.3396611905
788	0.3395663621
789	0.3394315443
790	0.3392858079
791	0.3391234478
792	0.3390022237
793	0.3388653313
794	0.3387862804
795	0.3386591603
796	0.3384595676
797	0.3520348946
798	0.3518831529
799	0.351731848
800	0.3515770491
801	0.3514502838
802	0.3513232455
803	0.3512012024
804	0.3509882618
805	0.3508631616
806	0.3507741201
807	0.3506745149
808	0.3506025338
809	0.3504773517
810	0.350357274
811	0.3502402536
812	0.3500794767
813	0.349959672
814	0.349871313
815	0.3497109456
816	0.3496141792
817	0.3494862674
818	0.3493498391
819	0.3492095347
820	0.3490902213
821	0.3490014801
822	0.3488491652
823	0.348687897
824	0.3485965626
825	0.3485102508
826	0.3483134698
827	0.3481884242
828	0.3480457449
829	0.3479211906
830	0.3478073639
831	0.3477472568
832	0.347661218
833	0.3475685188
834	0.3474340285
835	0.3473028685
836	0.3471804433
837	0.3470590554
838	0.3469225998
839	0.3467895289
840	0.3465741316
841	0.3463831647
842	0.3462439249
843	0.3461237107
844	0.3459867365
845	0.3458227113
846	0.3456466211
847	0.3455145056
848	0.3453295986
849	0.3451964732
850	0.3450793981
851	0.3449857435
852	0.3448710433
853	0.344753204
854	0.3447187284
855	0.3446077678
856	0.3443484503
857	0.3442742854
858	0.3441455548
859	0.3440234026
860	0.3438942897
861	0.343793074
862	0.3436751801
863	0.3436135717
864	0.3434648599
865	0.3433573114
866	0.343207808
867	0.3430243477
868	0.3428041462
869	0.342755995
870	0.3426021787
871	0.3424504371
872	0.3424020948
873	0.3422796423
874	0.3421140067
875	0.3420087511
876	0.3418640792
877	0.3417190797
878	0.3415582483
879	0.3414363145
880	0.3413325874
881	0.3412225549
882	0.3411475712
883	0.3410063114
884	0.3408415492
885	0.3407459566
886	0.3406088186
887	0.3404433194
888	0.3403243336
889	0.3401781604
890	0.3401138224
891	0.3399667211
892	0.3398511747
893	0.3396822088
894	0.3395503117
895	0.3393635758
896	0.3392374929
897	0.339105514
898	0.3389801408
899	0.3388731382
900	0.3387575917
901	0.338615513
902	0.3384826879
903	0.3383618186
904	0.3383117294
905	0.3381676307
906	0.3379879919
907	0.3378630009
908	0.3377430051
909	0.3376508518
910	0.3375373799
911	0.3374476015
912	0.337295969
913	0.3371920509
914	0.3370482525
915	0.3369612856
916	0.3368541192
917	0.336735925
918	0.3366510326
919	0.3365770043
920	0.3364234883
921	0.3362649498
922	0.3361230076
923	0.3359795367
924	0.3358644816
925	0.3358079504
926	0.33569194
927	0.3355571494
928	0.3354606833
929	0.335345055
930	0.3351912115
931	0.335072444
932	0.3349215485
933	0.3348348819
934	0.3347033397
935	0.3346428777
936	0.3344752767
937	0.3343898384
938	0.3341964939	939	0.334079913
940	0.3339876233
941	0.3338799929
942	0.3337899687
943	0.333590944	0944	0.333518945	0945	0.333458946	0946	0.333235947	0947	0.333104961
948	0.332995529
949	0.3328551973
950	0.3326691711
951	0.3325224793
952952	0.319870541
953	0.3198306607
954	0.3196897831
955	0.3195680949
956	0.3194053957	0.3319902232
958	0.3318519388
959	0.3317755902
960	0.3316386706
961	0.3315064459962	0.3185883933
963	0.3184209015
964	0.31830407219965	0.31816857199966	0.31803896796967	0.31788021096968	0.31774345496969	0.31765976397970	0.31757249971971	0.31749022972972	0.31737380973	0.3301136651
974	0.3299496673
975	0.3297963151
9976	0.3170262373
977	0.3168800641
978	0.3167932882
979	0.3166965764
980	0.3165811665
981	0.316463682
982	0.3162963267
983	0.3162268296
984	0.3161373241
985	0.316058437
986	0.3159877388
987	0.315888079
988	0.31581951
989	0.3156712077
990	0.3155958691
991	0.315516982
992	0992	0.327738993	0.3152836508
994	0.3152196403
995	0.3151287154
996	0996	0.327186997	0997	0.327060998	0.3147697108
999	0999	0.3268489394
00342194
999	0.3299466931
